complaint_id,date_received,date_sent_to_company,company,product,sub_product,issue,sub_issue,company_public_response,company_response_to_consumer,timely_response,consumer_disputed,submitted_via,date_company_response,state,zip_code,tags,narrative,month,taxonomy_version,narrative_available,days_to_company
23,2024-02-15,2024-02-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-02-15,NY,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
24,2024-02-15,2024-02-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-02-15,CA,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
25,2024-02-15,2024-02-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-02-15,NY,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
26,2024-02-15,2024-02-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-02-15,CA,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
27,2024-02-15,2024-02-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-02-15,NY,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
28,2024-02-15,2024-02-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-02-15,CA,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
29,2024-02-15,2024-02-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-02-15,NY,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
30,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
31,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
32,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
33,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
34,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
35,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
36,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
37,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
38,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
39,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
40,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
41,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
42,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
43,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
44,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
45,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
46,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
47,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
48,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
49,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
50,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
51,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
52,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
53,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
54,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
55,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
56,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
57,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
58,2024-03-15,2024-03-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
59,2024-03-15,2024-03-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-15,CA,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
60,2024-03-15,2024-03-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2024-03-15,NY,Unknown,Unknown,payment delayed customer concern,2024-03,post_2023_08_update,1,0
61,2024-03-20,2024-03-20,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
62,2024-03-20,2024-03-20,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
63,2024-03-20,2024-03-20,Demo Finance 3,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
64,2024-03-20,2024-03-20,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
65,2024-03-20,2024-03-20,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
66,2024-03-20,2024-03-20,Demo Finance 3,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
67,2024-03-20,2024-03-20,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
68,2024-03-20,2024-03-20,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
69,2024-03-20,2024-03-20,Demo Finance 3,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
70,2024-03-20,2024-03-20,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
71,2024-03-20,2024-03-20,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
72,2024-03-20,2024-03-20,Demo Finance 3,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
73,2024-03-20,2024-03-20,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
74,2024-03-20,2024-03-20,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
75,2024-03-20,2024-03-20,Demo Finance 3,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-03-20,NY,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
76,2024-03-20,2024-03-20,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-03-20,CA,Unknown,Unknown,merchant dispute delayed refund,2024-03,post_2023_08_update,1,0
77,2025-01-15,2025-01-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2025-01-15,NY,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
78,2025-01-15,2025-01-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,CA,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
79,2025-01-15,2025-01-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,NY,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
80,2025-01-15,2025-01-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,CA,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
81,2025-01-15,2025-01-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,NY,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
82,2025-01-15,2025-01-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-01-15,CA,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
83,2025-01-15,2025-01-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-01-15,NY,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
84,2025-01-15,2025-01-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2025-01-15,CA,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
85,2025-01-15,2025-01-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,NY,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
86,2025-01-15,2025-01-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,CA,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
87,2025-01-15,2025-01-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-01-15,NY,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
88,2025-01-15,2025-01-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,CA,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
89,2025-01-15,2025-01-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-01-15,NY,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
90,2025-01-15,2025-01-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-01-15,CA,Unknown,Unknown,payment delayed customer concern,2025-01,post_2023_08_update,1,0
91,2025-02-15,2025-02-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
92,2025-02-15,2025-02-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
93,2025-02-15,2025-02-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
94,2025-02-15,2025-02-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
95,2025-02-15,2025-02-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
96,2025-02-15,2025-02-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
97,2025-02-15,2025-02-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
98,2025-02-15,2025-02-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
99,2025-02-15,2025-02-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
100,2025-02-15,2025-02-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
101,2025-02-15,2025-02-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
102,2025-02-15,2025-02-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
103,2025-02-15,2025-02-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
104,2025-02-15,2025-02-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
105,2025-02-15,2025-02-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
106,2025-02-15,2025-02-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-02-15,CA,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
107,2025-02-15,2025-02-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-02-15,NY,Unknown,Unknown,payment delayed customer concern,2025-02,post_2023_08_update,1,0
108,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
109,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
110,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
111,2025-03-15,2025-03-15,Demo Finance 1,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
112,2025-03-15,2025-03-15,Demo Finance 2,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2025-03-15,NY,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
113,2025-03-15,2025-03-15,Demo Finance 3,Crypto asset,Unknown,Fraud,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2025-03-15,CA,Unknown,Unknown,payment delayed customer concern,2025-03,post_2023_08_update,1,0
